Topic,Top_Words,Word_1,Word_2,Word_3,Word_4,Word_5
1,"film, games, said, game, music, time, year, films, new, play",film,games,said,game,music
2,"year, said, growth, sales, economy, rise, figures, prices, market, spending",year,said,growth,sales,economy
3,"china, said, countries, world, economic, european, budget, president, dollar, foreign",china,said,countries,world,economic
4,"said, game, england, club, players, team, cup, time, play, united",said,game,england,club,players
5,"best, year, world, win, won, ireland, wales, said, france, final",best,year,world,win,won
6,"mobile, technology, phone, phones, said, video, digital, sony, market, apple",mobile,technology,phone,phones,said
7,"said, net, users, software, online, internet, broadband, service, microsoft, people",said,net,users,software,online
8,"said, government, labour, election, party, blair, minister, brown, told, public",said,government,labour,election,party
9,"said, company, firm, shares, deal, market, group, companies, financial, yukos",said,company,firm,shares,deal
10,"people, said, new, work, like, says, way, system, time, going",people,said,new,work,like
