Topic,Top_Words,Word_1,Word_2,Word_3,Word_4,Word_5
1,"profits, strong, told, performance, stake, analyst, week, market, reuters, euros",profits,strong,told,performance,stake
2,"group, mark, offer, talks, monday, held, bid, deal, taylor, revealed",group,mark,offer,talks,monday
3,"game, games, england, players, online, match, wales, sony, microsoft, video",game,games,england,players,online
4,"said, technology, companies, data, software, research, according, firms, president, economic",said,technology,companies,data,software
5,"said, year, high, net, final, service, like, chief, important, speed",said,year,high,net,final
6,"williams, following, hit, seen, grand, virus, ferguson, watch, competition, robert",williams,following,hit,seen,grand
7,"half, round, victory, warned, chairman, alan, health, needed, available, defence",half,round,victory,warned,chairman
8,"rates, interest, germany, central, officials, mean, rise, money, hopes, german",rates,interest,germany,central,officials
9,"open, claims, australian, list, new, asked, right, time, known, able",open,claims,australian,list,new
10,"waiting, taken, rising, large, sold, production, ahead, remains, current, rise",waiting,taken,rising,large,sold
11,"firm, market, said, mobile, company, shares, points, buy, head, share",firm,market,said,mobile,company
12,"china, state, life, control, agreed, day, small, russia, largest, year",china,state,life,control,agreed
13,"told, bbc, minister, news, prime, stand, union, plan, editor, government",told,bbc,minister,news,prime
14,"band, list, nintendo, programme, came, think, tie, oil, morgan, waiting",band,list,nintendo,programme,came
15,"play, old, playing, try, late, sunday, download, fans, singles, welsh",play,old,playing,try,late
16,"users, france, services, broadband, internet, phones, programs, windows, gadgets, technologies",users,france,services,broadband,internet
17,"economy, remains, view, exports, figures, competitive, japan, face, minister, growth",economy,remains,view,exports,figures
18,"labour, said, party, election, government, campaign, political, public, vote, tax",labour,said,party,election,government
19,"place, saying, women, followed, oliver, wimbledon, week, position, created, having",place,saying,women,followed,oliver
20,"computer, court, decision, time, trial, case, card, use, ruled, human",computer,court,decision,time,trial
21,"month, sales, february, november, national, christmas, december, fell, annual, retail",month,sales,february,november,national
22,"win, world, minutes, olympic, beat, role, return, championships, took, despite",win,world,minutes,olympic,beat
23,"television, access, include, prices, countries, files, house, radio, network, programme",television,access,include,prices,countries
24,"people, south, power, plans, information, huge, announced, said, india, numbers",people,south,power,plans,information
25,"talks, hour, band, coming, straw, playing, supporters, conservative, including, higher",talks,hour,band,coming,straw
26,"come, making, audience, charles, forward, city, actually, private, management, bill",come,making,audience,charles,forward
27,"poor, match, east, company, west, brown, board, led, markets, bush",poor,match,east,company,west
28,"blair, howard, tony, different, taking, leader, tory, lib, george, kennedy",blair,howard,tony,different,taking
29,"michael, march, accused, industry, sport, new, said, charges, senior, websites",michael,march,accused,industry,sport
30,"united, nations, lead, manchester, mobile, media, left, weeks, phone, big",united,nations,lead,manchester,mobile
31,"virus, power, focus, market, return, mps, leadership, proved, committee, customers",virus,power,focus,market,return
32,"great, sir, career, tour, robinson, captain, irish, lions, clive, british",great,sir,career,tour,robinson
33,"said, home, people, secretary, work, britain, like, away, title, lord",said,home,people,secretary,work
34,"think, time, john, andy, policy, ukip, taken, meeting, digital, jason",think,time,john,andy,policy
35,"calls, paul, states, services, old, night, editor, council, davis, striker",calls,paul,states,services,old
36,"face, interest, rates, bank, rate, rise, officials, seed, inflation, kept",face,interest,rates,bank,rate
37,"film, films, new, director, year, like, london, live, performance, movie",film,films,new,director,year
38,"said, european, international, legal, director, networks, action, sold, called, local",said,european,international,legal,director
39,"said, number, music, year, years, people, know, anti, new, children",said,number,music,year,years
40,"brown, said, centre, gordon, customers, far, shadow, cut, missing, concern",brown,said,centre,gordon,customers
41,"chelsea, manager, arsenal, injury, cup, champions, liverpool, defeat, player, football",chelsea,manager,arsenal,injury,cup
42,"new, ireland, close, years, hard, said, help, getting, york, davis",new,ireland,close,years,hard
43,"best, coach, champion, club, won, saturday, year, award, awards, summer",best,coach,champion,club,won
44,"team, said, boss, scotland, money, web, looking, scottish, david, job",team,said,boss,scotland,money
45,"bit, fans, announced, japanese, defence, missing, japan, cut, police, boss",bit,fans,announced,japanese,defence
