Topic,Top_Words,Word_1,Word_2,Word_3,Word_4,Word_5
1,"profit, firm, profits, said, claims, legal, london, fell, project, australian",profit,firm,profits,said,claims
2,"net, online, internet, search, web, users, sites, google, spam, file",net,online,internet,search,web
3,"people, like, said, think, time, good, going, way, years, says",people,like,said,think,time
4,"wales, game, injury, half, liverpool, ball, said, win, jones, coach",wales,game,injury,half,liverpool
5,"win, year, world, won, final, said, beat, set, title, best",win,year,world,won,final
6,"party, ukip, kilroy, silk, blunkett, robert, parties, east, politics, host",party,ukip,kilroy,silk,blunkett
7,"minutes, half, lord, johnson, peer, try, time, penalty, lead, left",minutes,half,lord,johnson,peer
8,"said, government, law, police, told, legal, rights, decision, spokesman, home",said,government,law,police,told
9,"disaster, ukip, said, bank, government, business, prices, banks, fuel, state",disaster,ukip,said,bank,government
10,"said, people, phone, service, information, new, services, research, use, mail",said,people,phone,service,information
11,"broadband, china, italy, stock, london, exchange, deutsche, chinese, investors, bid",broadband,china,italy,stock,london
12,"software, computer, security, microsoft, users, virus, system, messages, wireless, windows",software,computer,security,microsoft,users
13,"tax, government, pay, spending, budget, said, cuts, taxes, money, economy",tax,government,pay,spending,budget
14,"game, games, play, players, team, said, cup, playing, match, champion",game,games,play,players,team
15,"roddick, hold, followed, service, points, hour, game, attacks, mini, claim",roddick,hold,followed,service,points
16,"technology, companies, firms, data, content, consumers, technologies, consumer, industry, world",technology,companies,firms,data,content
17,"european, europe, trade, commission, dollar, said, countries, union, euro, world",european,europe,trade,commission,dollar
18,"music, apple, band, radio, album, song, number, gadget, download, new",music,apple,band,radio,album
19,"year, sales, japan, profits, christmas, japanese, december, car, record, north",year,sales,japan,profits,christmas
20,"video, film, sony, gaming, new, games, said, dvd, films, high",video,film,sony,gaming,new
21,"mobile, digital, phones, networks, mobiles, gadgets, use, data, market, drive",mobile,digital,phones,networks,mobiles
22,"england, club, scotland, rugby, united, chelsea, league, scottish, said, football",england,club,scotland,rugby,united
23,"oil, yukos, russian, russia, sale, energy, state, production, company, court",oil,yukos,russian,russia,sale
24,"said, year, growth, economy, prices, economic, rise, bank, market, rate",said,year,growth,economy,prices
25,"seed, chart, download, official, pop, song, track, songs, digital, information",seed,chart,download,official,pop
26,"ireland, saturday, irish, mark, final, nations, athens, march, indoor, european",ireland,saturday,irish,mark,final
27,"festival, park, shown, bill, singer, february, career, days, politics, andy",festival,park,shown,bill,singer
28,"said, company, firm, deal, market, new, shares, chief, buy, business",said,company,firm,deal,market
29,"best, film, awards, award, actor, director, won, star, year, actress",best,film,awards,award,actor
30,"robinson, court, drugs, case, charges, fraud, trial, guilty, face, test",robinson,court,drugs,case,charges
31,"germany, german, threat, officials, domestic, taken, probably, hopes, european, kept",germany,german,threat,officials,domestic
32,"labour, election, blair, party, brown, said, howard, minister, prime, tory",labour,election,blair,party,brown
33,"said, government, people, india, world, local, aid, countries, plans, public",said,government,people,india,world
34,"france, french, world, tsunami, australia, zealand, disaster, country, australian, open",france,french,world,tsunami,australia
35,"bush, president, air, iraq, war, clarke, asylum, immigration, security, airline",bush,president,air,iraq,war
