Topic,Top_Words,Word_1,Word_2,Word_3,Word_4,Word_5
1,"career, situation, united, growth, stadium, look, remains, awards, period, central",career,situation,united,growth,stadium
2,"long, economy, growth, rise, seen, main, year, december, term, fall",long,economy,growth,rise,seen
3,"england, number, said, showed, figures, children, prices, end, consumer, currently",england,number,said,showed,figures
4,"need, meet, microsoft, giant, growing, firm, programs, demand, built, trading",need,meet,microsoft,giant,growing
5,"good, number, set, rugby, injury, game, week, place, album, single",good,number,set,rugby,injury
6,"music, film, year, films, lord, big, dvd, box, ago, radio",music,film,year,films,lord
7,"record, fact, contract, post, saw, year, older, areas, field, deficit",record,fact,contract,post,saw
8,"case, higher, green, september, monday, fund, includes, oscar, sold, hand",case,higher,green,september,monday
9,"game, think, time, wales, got, years, said, half, playing, chance",game,think,time,wales,got
10,"manager, michael, future, players, offer, choice, competition, hope, robinson, buy",manager,michael,future,players,offer
11,"said, government, party, public, labour, people, tax, system, information, work",said,government,party,public,labour
12,"edinburgh, reported, shadow, schools, boss, attempt, including, come, interests, life",edinburgh,reported,shadow,schools,boss
13,"best, film, award, won, ireland, awards, beat, williams, director, actor",best,film,award,won,ireland
14,"net, deal, oil, south, east, agreement, company, loss, year, gas",net,deal,oil,south,east
15,"card, cards, chip, woman, seed, having, decide, credit, finals, year",card,cards,chip,woman,seed
16,"cup, play, world, tour, instead, couple, following, glasgow, played, andy",cup,play,world,tour,instead
17,"version, original, audience, special, sir, peer, concert, movie, expected, john",version,original,audience,special,sir
18,"end, hard, new, situation, education, year, different, personal, budget, social",end,hard,new,situation,education
19,"phone, companies, online, market, use, london, sony, japan, said, german",phone,companies,online,market,use
20,"year, said, hit, january, earlier, data, street, pay, quarter, new",year,said,hit,january,earlier
21,"break, australian, west, close, city, liverpool, away, history, charge, add",break,australian,west,close,city
22,"said, market, company, chief, executive, months, firm, group, financial, china",said,market,company,chief,executive
23,"added, help, feel, available, poor, ready, like, gone, pop, simply",added,help,feel,available,poor
24,"minister, blair, election, prime, round, huge, dollar, parties, win, country",minister,blair,election,prime,round
25,"survey, includes, avoid, coach, statement, point, strong, conference, inquiry, hoping",survey,includes,avoid,coach,statement
26,"credit, written, drive, university, house, course, conditions, missed, official, playing",credit,written,drive,university,house
27,"strong, north, america, asian, sales, plan, cut, consumers, run, launched",strong,north,america,asian,sales
28,"told, said, court, war, board, bbc, case, club, campaign, iraq",told,said,court,war,board
29,"mobile, quarter, phones, digital, according, ministry, industry, led, falling, september",mobile,quarter,phones,digital,according
30,"biggest, india, russia, fraud, failure, moved, reported, internet, total, level",biggest,india,russia,fraud,failure
31,"victims, power, force, members, reports, net, line, protect, comedy, cross",victims,power,force,members,reports
32,"sales, rate, month, official, year, annual, february, leicester, january, row",sales,rate,month,official,year
33,"year, software, united, france, said, time, new, states, england, years",year,software,united,france,said
34,"year, open, world, final, time, win, women, new, won, victory",year,open,world,final,time
35,"said, people, new, games, news, work, going, like, lot, players",said,people,new,games,news
36,"sport, book, created, doping, members, feature, iaaf, winner, outside, year",sport,book,created,doping,members
37,"said, british, office, report, needed, control, council, rights, private, non",said,british,office,report,needed
38,"day, later, found, area, giving, development, including, trying, firms, evidence",day,later,found,area,giving
39,"times, days, reported, singer, proposals, announced, evidence, maker, athens, market",times,days,reported,singer,proposals
40,"home, anti, ministers, attacks, virus, africa, madrid, body, drugs, davis",home,anti,ministers,attacks,virus
41,"match, league, chelsea, players, sale, season, car, christmas, yukos, russian",match,league,chelsea,players,sale
42,"said, line, real, bank, new, foreign, trade, agency, world, commission",said,line,real,bank,new
43,"said, people, users, service, broadband, list, technology, free, way, tsunami",said,people,users,service,broadband
