Topic,Top_Words,Word_1,Word_2,Word_3,Word_4,Word_5
1,"career, situation, united, growth, stadium, look, remains, awards, period, central",career,situation,united,growth,stadium
2,"long, economy, growth, seen, rise, main, year, december, term, fall",long,economy,growth,seen,rise
3,"england, number, said, showed, figures, children, prices, end, consumer, rose",england,number,said,showed,figures
4,"need, meet, microsoft, giant, growing, firm, programs, demand, built, maker",need,meet,microsoft,giant,growing
5,"good, number, set, rugby, injury, week, game, place, album, single",good,number,set,rugby,injury
6,"music, film, year, films, lord, big, box, dvd, ago, radio",music,film,year,films,lord
7,"record, fact, contract, post, saw, year, older, areas, field, deficit",record,fact,contract,post,saw
8,"case, higher, green, september, monday, fund, includes, oscar, sold, hand",case,higher,green,september,monday
9,"game, think, time, wales, got, years, said, half, playing, chance",game,think,time,wales,got
10,"manager, future, michael, players, offer, choice, competition, hope, robinson, buy",manager,future,michael,players,offer
11,"said, government, party, labour, public, people, tax, system, election, information",said,government,party,labour,public
12,"edinburgh, reported, shadow, schools, boss, attempt, including, come, interests, life",edinburgh,reported,shadow,schools,boss
13,"best, film, award, won, ireland, awards, beat, director, williams, actor",best,film,award,won,ireland
14,"net, deal, oil, south, east, agreement, company, loss, year, gas",net,deal,oil,south,east
15,"card, having, cards, chip, woman, seed, decide, credit, finals, year",card,having,cards,chip,woman
16,"cup, play, world, tour, instead, couple, following, glasgow, played, andy",cup,play,world,tour,instead
17,"version, original, audience, special, sir, peer, concert, movie, john, expected",version,original,audience,special,sir
18,"end, hard, new, situation, year, education, different, budget, personal, social",end,hard,new,situation,year
19,"phone, companies, online, market, london, use, japan, sony, said, german",phone,companies,online,market,london
20,"year, said, hit, january, earlier, data, street, pay, quarter, new",year,said,hit,january,earlier
21,"break, australian, west, close, city, liverpool, charge, away, history, add",break,australian,west,close,city
22,"said, market, company, chief, executive, firm, months, group, financial, shares",said,market,company,chief,executive
23,"added, help, feel, available, poor, ready, like, gone, pop, simply",added,help,feel,available,poor
24,"minister, blair, prime, election, round, huge, dollar, parties, win, country",minister,blair,prime,election,round
25,"survey, includes, avoid, coach, statement, point, strong, conference, inquiry, hoping",survey,includes,avoid,coach,statement
26,"credit, written, drive, university, house, course, conditions, missed, official, playing",credit,written,drive,university,house
27,"strong, north, america, asian, sales, plan, cut, consumers, run, launched",strong,north,america,asian,sales
28,"told, said, court, war, bbc, board, case, club, campaign, brown",told,said,court,war,bbc
29,"mobile, quarter, phones, digital, according, ministry, industry, led, falling, trade",mobile,quarter,phones,digital,according
30,"biggest, india, russia, fraud, failure, moved, internet, total, level, reported",biggest,india,russia,fraud,failure
31,"victims, power, force, members, reports, net, line, protect, comedy, cross",victims,power,force,members,reports
32,"sales, rate, month, official, year, annual, january, leicester, february, november",sales,rate,month,official,year
33,"year, united, software, france, said, new, time, england, states, years",year,united,software,france,said
34,"year, open, world, final, time, win, women, new, won, victory",year,open,world,final,time
35,"said, people, games, new, news, work, going, like, players, lot",said,people,games,new,news
36,"sport, book, created, members, doping, feature, iaaf, outside, year, fight",sport,book,created,members,doping
37,"said, british, office, report, needed, control, council, rights, non, private",said,british,office,report,needed
38,"day, found, later, area, giving, development, including, trying, firms, evidence",day,found,later,area,giving
39,"times, days, reported, singer, proposals, announced, evidence, maker, athens, market",times,days,reported,singer,proposals
40,"home, anti, ministers, attacks, virus, africa, madrid, body, drugs, attack",home,anti,ministers,attacks,virus
41,"match, league, chelsea, players, sale, season, car, christmas, yukos, russian",match,league,chelsea,players,sale
42,"said, line, real, bank, foreign, new, trade, agency, commission, world",said,line,real,bank,foreign
43,"said, people, service, users, broadband, free, list, technology, way, tsunami",said,people,service,users,broadband
